passangers
43622
43391
54556
50796
52677
55429
57901
57961
45498
53674
50348
55753
49034
46557
56282
52380
54559
58586
63071
61329
49936
55852
52938
56202
50323
51528
61421
60163
59838
64530
68179
65581
53998
60779
58020
59654
55230
53658
67107
62336
64844
67921
71472
67562
57387
60441
59194
60019
56149
53870
66523
63694
64885
67723
70066
66985
56909
62089
60742
61156
57653
54506
67766
65384
67236
70235
73056
71963
59760
64684
62405
61341
58280
57519
68271
63668
66537
68445
70998
68337
54703
60198
54492
57794
52257
50217
61403
59966
60167
64005
68604
65549
55168
59312
55285
57357
53043
49091
62735
60145
61941
65515
69078
66814
57842
62648
58653
59040
54179
50554
64164
61033
64348
66777
70590
66953
58629
61750
58822
59594
54929
53576
65008
61992
64126
67144
69802
68366
57935
61412
59208
59324
55792
52886
65540
61416
65203
67513
69722
68226
58642
62596
58014
62915
56198
52801
