energia
14755
13339
13269
12478
11846
11853
12099
12041
12458
13526
13144
13851
14439
12749
13566
11621
11220
11068
11650
11601
11977
13593
13356
14399
14900
13271
13802
11969
12095
11811
12268
12052
12567
13869
13587
15156
14848
14095
14987
12785
13005
12358
12489
12845
12961
14085
14267
14608
14953
14994
13928
12877
12392
12423
12414
12562
12492
13774
13962
14643
15354
13822
14798
13415
12645
12291
12966
12831
13292
14396
14279
14525
14842
12983
13541
12515
12434
11926
13118
12418
