kurs
4.1631
4.1645
4.1798
4.1789
4.1776
4.1745
4.1600
4.1565
4.1522
4.1647
4.1601
4.1586
4.1647
4.1669
4.1679
4.2014
4.2291
4.1827
4.2155
4.2365
4.2368
4.2375
4.2140
4.1887
4.1860
4.1865
4.1822
4.1798
4.1686
4.1752
4.1530
4.1450
4.1584
4.1638
4.1780
4.1681
4.1638
4.1595
4.1584
4.1851
4.1602
4.1978
4.1926
4.1860
4.1788
4.1893
4.1991
4.2171
4.2290
4.2277
4.2334
4.2295
4.2295
4.2065
4.2089
4.1970
4.1990
4.1910
4.1835
4.1826
4.1677
4.1713
4.1765
4.1774
4.1738
4.1657
4.1748
4.1684
4.1675
4.1710
4.1784
4.1855
4.1840
4.1925
4.1968
4.1820
4.1890
4.1914
4.1893
4.2030
4.2112
4.2053
4.1994
4.1990
4.2056
4.2051
4.2003
4.1865
4.1787
4.1797
4.1815
4.1828
4.1824
4.1935
4.1884
4.1905
4.1885
4.1755
4.1524
4.1560
4.1655
4.1678
4.1385
4.1420
4.1355
4.1392
4.1527
4.1215
4.1211
4.0998
4.1090
4.1157
4.1096
4.1231
4.1460
4.1398
4.1463
4.1506
4.1603
4.1587
4.1437
4.1358
4.1528
4.1609
4.1550
4.1500
4.1536
4.1435
4.1472
4.1401
4.1272
4.1341
4.1419
4.1390
4.1433
4.1310
4.1378
4.1479
4.1521
4.1464
4.1355
4.1398
4.1459
4.1470
4.1524
4.1517
4.1640
4.1887
4.1783
4.1679
4.1940
4.1990
4.2184
4.1998
4.2025
4.1980
4.1800
4.1951
4.1871
4.1838
4.1893
4.1874
4.1814
4.1800
4.1880
4.2043
4.2129
4.2099
4.2120
4.1937
4.2000
4.1908
4.1824
4.1978
4.2070
4.1935
4.1957
4.2028
4.1970
4.1899
4.1880
4.1860
4.1845
4.1775
4.1785
4.1757
4.1781
4.1843
4.1755
4.1792
4.1780
4.1789
4.1829
4.1825
4.1856
4.1826
4.1795
4.1901
4.1993
4.2089
4.2223
4.2293
4.2232
4.2263
4.2228
4.2280
4.2245
4.2229
4.2268
4.2248
4.2280
4.2043
4.2209
4.2253
4.2310
4.2250
4.2243
